onset	duration	stimulus
19.031	4.0	37.5cal
29.531	0.0	rinse
41.649	8.0	37.5cal
56.149	0.0	rinse
66.257	8.0	37.5cal
80.757	0.0	rinse
88.858	6.0	75cal
101.358	0.0	rinse
110.46	11.0	0cal
127.96	0.0	rinse
136.05	4.0	112.5cal
146.55	0.0	rinse
161.648	4.0	112.5cal
172.148	0.0	rinse
184.251	8.0	150cal
198.751	0.0	rinse
213.853	5.0	150cal
225.353	0.0	rinse
235.456	6.0	tless
247.956	0.0	rinse
248.024	4.0	tless
258.524	0.0	rinse
258.604	4.0	37.5cal
269.104	0.0	rinse
277.211	8.0	37.5cal
291.711	0.0	rinse
301.829	5.0	tless
313.329	0.0	rinse
313.403	11.0	112.5cal
330.903	0.0	rinse
340.0	8.0	75cal
354.5	0.0	rinse
362.601	4.0	75cal
373.101	0.0	rinse
385.205	8.0	112.5cal
399.705	0.0	rinse
408.807	6.0	tless
421.307	0.0	rinse
421.379	5.0	tless
432.879	0.0	rinse
432.947	4.0	75cal
443.447	0.0	rinse
458.546	6.0	0cal
471.046	0.0	rinse
479.136	4.0	0cal
489.636	0.0	rinse
499.733	4.0	0cal
510.233	0.0	rinse
518.335	5.0	112.5cal
529.835	0.0	rinse
541.937	11.0	112.5cal
559.437	0.0	rinse
567.54	4.0	150cal
578.04	0.0	rinse
593.147	4.0	37.5cal
603.647	0.0	rinse
613.728	5.0	150cal
625.228	0.0	rinse
637.313	4.0	tless
647.813	0.0	rinse
647.882	6.0	150cal
660.382	0.0	rinse
670.48	11.0	150cal
687.98	0.0	rinse
696.074	5.0	75cal
707.574	0.0	rinse
716.67	11.0	75cal
734.17	0.0	rinse
742.263	6.0	0cal
754.763	0.0	rinse
762.86	11.0	0cal
779.36	0.0	rinse
