onset	duration	stimulus
19.033	4.0	tless
29.533	0.0	rinse
29.609	11.0	0cal
47.109	0.0	rinse
57.226	5.0	tless
68.726	0.0	rinse
68.794	6.0	75cal
81.294	0.0	rinse
89.389	4.0	37.5cal
99.889	0.0	rinse
107.979	6.0	150cal
120.479	0.0	rinse
129.578	5.0	112.5cal
141.078	0.0	rinse
151.179	5.0	tless
162.679	0.0	rinse
162.747	11.0	75cal
180.247	0.0	rinse
188.338	4.0	112.5cal
198.838	0.0	rinse
207.948	6.0	37.5cal
220.448	0.0	rinse
232.539	4.0	37.5cal
243.039	0.0	rinse
258.149	11.0	tless
275.649	0.0	rinse
275.708	8.0	150cal
290.208	0.0	rinse
298.303	11.0	0cal
315.803	0.0	rinse
325.897	4.0	0cal
336.397	0.0	rinse
346.482	6.0	75cal
358.982	0.0	rinse
368.081	4.0	37.5cal
378.581	0.0	rinse
393.691	4.0	150cal
404.191	0.0	rinse
413.29	6.0	112.5cal
425.79	0.0	rinse
433.908	11.0	112.5cal
451.408	0.0	rinse
459.51	4.0	0cal
470.01	0.0	rinse
482.113	8.0	tless
496.613	0.0	rinse
496.681	8.0	150cal
511.181	0.0	rinse
519.27	4.0	0cal
529.77	0.0	rinse
538.852	5.0	150cal
550.352	0.0	rinse
565.459	5.0	tless
576.959	0.0	rinse
577.028	6.0	112.5cal
589.528	0.0	rinse
601.642	11.0	112.5cal
619.142	0.0	rinse
627.246	5.0	75cal
638.746	0.0	rinse
653.843	8.0	37.5cal
668.343	0.0	rinse
680.466	4.0	37.5cal
690.966	0.0	rinse
706.069	8.0	75cal
720.569	0.0	rinse
730.674	4.0	150cal
741.174	0.0	rinse
749.264	8.0	75cal
763.764	0.0	rinse
771.849	4.0	0cal
782.349	0.0	rinse
